"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","LQP_0.35","LQP",0.35,0.8506,0.782434532828283,0.0304579538134541,0.0721315713101161,0.0349995556684588,0.05,0.00539094650205761,0.211868686868687,0.0533431112471517,3212.77987330467,0,0.117639372542366,11
"2","LQP_0.15","LQP",0.15,0.8598,0.781885416666667,0.038065987932581,0.0795776706744057,0.042691102512541,0.0777777777777778,0.0162962962962963,0.228535353535354,0.0545851613780907,3211.17907826536,0,0.108138950690743,12
"3","LQP_0.05","LQP",0.05,0.8512,0.766713446969697,0.0486209649438873,0.0869025217975777,0.0514136658409227,0.0777777777777778,0.0162962962962963,0.223106060606061,0.0574591665816413,3210.25821060663,0,0.198018175907514,12
"4","LQ_2.3","LQ",2.3,0.8366,0.783341098484848,0.0120736705426782,0.0577191281597065,0.014897105848462,0.0111111111111111,0.000493827160493827,0.161994949494949,0.0145990842771146,3246.95083929157,0,0.0282486241352062,9
"5","LQP_0.1","LQP",0.1,0.8473,0.764007828282828,0.0438155119151745,0.0865932634805769,0.0460328928943143,0.0833333333333333,0.0192181069958848,0.234217171717172,0.0533177524402272,3216.44042221335,0,0.10535597400729,12
"6","LQP_0.05","LQP",0.05,0.8505,0.758114646464646,0.0452621806512091,0.0910638637619981,0.0442853207893905,0.0722222222222222,0.0136213991769547,0.234217171717172,0.0533177524402272,3214.24387664197,0,0.146353119843458,12
"7","LQ_0.8","LQ",0.8,0.8496,0.787128851010101,0.0261971537793059,0.0658117584426353,0.0314047980482687,0.0722222222222222,0.0136213991769547,0.189646464646465,0.0349517906336088,3214.57903935542,0,0.0783742355257245,9
"8","LQ_0.95","LQ",0.95,0.8452,0.785495580808081,0.0181482294771101,0.0596707749133122,0.0220967937504422,0.0777777777777778,0.0133333333333333,0.173106060606061,0.0208280405060708,3227.16529822582,0,0.239999435385954,9
"9","LQ_1.05","LQ",1.05,0.8384,0.77622619949495,0.0193172279496073,0.0670920771772451,0.0236762614884169,0.0222222222222222,0.00065843621399177,0.173106060606061,0.020169604292079,3249.70185247818,0,0.0304826712896195,9
"10","LQP_1.05","LQP",1.05,0.8371,0.7722125,0.0232110669618056,0.0677557628524046,0.0260876364486904,0.0555555555555556,0.00707818930041152,0.211868686868687,0.0421496956092916,3238.61606859535,0,0.0934639974653893,10
"11","LQP_0.05","LQP",0.05,0.8402,0.757327083333333,0.0471517573423033,0.0825558699557767,0.0476419421581949,0.0944444444444444,0.0258024691358025,0.228535353535354,0.0545851613780907,3214.20221836921,0,0.247053343259831,12
"12","LQ_1.65","LQ",1.65,0.8437,0.789496022727273,0.0135950007315939,0.0568161870571385,0.0165260123259232,0.0111111111111111,0.000493827160493827,0.173106060606061,0.020169604292079,3236.47494247708,0,0.0326002250338162,9
"13","LQP_0.1","LQP",0.1,0.8435,0.758939267676768,0.0398417466721667,0.0889626809136138,0.0424088226307435,0.0555555555555556,0.00707818930041152,0.250883838383838,0.0489574830799578,3213.21932367521,0,0.1727348583094,12
"14","LQP_0.1","LQP",0.1,0.8477,0.760305429292929,0.0392896345918943,0.0915857122217197,0.0432503242422386,0.0555555555555556,0.00707818930041152,0.245328282828283,0.0501639926198007,3214.61090891277,0,0.163925700030744,12
"15","LQP_1.2","LQP",1.2,0.8425,0.785482891414141,0.0159684001301246,0.0622883565128901,0.0183799933709769,0.0166666666666667,0.00111111111111111,0.173106060606061,0.0142436783661531,3242.0944794125,0,0.148774682865074,8
"16","LQP_0.05","LQP",0.05,0.8614,0.780334406565657,0.0408845569506022,0.0843612609301975,0.0443525022421948,0.0777777777777778,0.0162962962962963,0.239772727272727,0.0516174157398905,3213.60097104439,0,0.132069115772961,12
"17","LQP_0.05","LQP",0.05,0.8477,0.761203851010101,0.0425984947168059,0.0885390663475552,0.0442767187089503,0.0777777777777778,0.0162962962962963,0.245328282828283,0.0501639926198007,3212.05605596645,0,0.264179275086394,12
"18","LQP_0.05","LQP",0.05,0.8544,0.767402651515152,0.0450653824117596,0.0885311240514599,0.0478332500619812,0.0888888888888889,0.0223868312757202,0.23989898989899,0.0523086079651736,3214.97188600556,0,0.194315635981528,12
"19","LQP_1","LQP",1,0.8397,0.782538636363636,0.0144833473743113,0.0581993818784863,0.0179262483859917,0.0166666666666667,0.00111111111111111,0.178535353535354,0.0199948134544094,3236.31469652058,0,0.0942461902985028,10
"20","LQP_0.15","LQP",0.15,0.8456,0.764154734848485,0.0403845036382169,0.0828694428740138,0.0417162260736948,0.0555555555555556,0.00477366255144033,0.228535353535354,0.0545851613780907,3216.00339020518,0,0.129795497845133,11
