"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7","Model 8","Model 9","Model 10","Model 11","Model 12","Model 13","Model 14","Model 15","Model 16","Model 17","Model 18","Model 19","Model 20","Model 21","Model 22","Model 23","Model 24","Model 25","Model 26","Model 27","Model 28","Model 29","Model 30","Model 31","Model 32","Model 33","Model 34","Model 35","Model 36","Model 37","Model 38","Model 39","Model 40","mean","SD"
"X.Training.samples",179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,0
"Regularized.training.gain",0.9531,0.9264,0.9609,0.9459,0.9634,0.9363,0.92,0.9267,0.9137,0.9583,0.9339,0.9805,0.9226,0.9522,0.9381,0.9336,0.8966,0.9272,0.9265,0.8894,0.9557,0.895,0.9694,0.9422,0.9503,0.9461,0.9125,0.9588,0.961,0.9554,0.9438,0.921,0.9626,0.9493,0.9348,0.9324,0.941,1.0184,0.9603,0.9448,0.9415025,0.0227054808816939
"Unregularized.training.gain",0.9861,0.9493,0.973,0.9799,0.9756,0.9595,0.9429,0.9601,0.9361,0.9702,0.9578,1.0049,0.9552,0.975,0.9494,0.9554,0.9616,0.9485,0.9914,0.9708,0.9679,0.9661,0.9794,0.9653,0.9621,0.9581,0.9247,0.9812,0.9732,0.9963,0.9671,0.9436,0.9955,0.9726,0.9471,0.9549,0.963,1.0401,0.9944,0.9682,0.9680875,0.0174860141157204
"Iterations",500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0
"Training.AUC",0.8521,0.85,0.8544,0.8522,0.8526,0.8523,0.8494,0.8496,0.8485,0.8538,0.8501,0.8555,0.8519,0.8526,0.8521,0.8521,0.8528,0.8519,0.8538,0.8509,0.8517,0.849,0.847,0.8518,0.8512,0.8518,0.8477,0.8544,0.8536,0.8553,0.8538,0.8516,0.8562,0.8533,0.8493,0.8525,0.8525,0.8564,0.8516,0.8533,0.852065,0.00211765702236406
"X.Background.points",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0
"DEMStError.contribution",6.1139,4.2731,6.1706,6.2613,5.0172,5.9207,5.2204,4.4544,5.1045,5.9396,5.9066,6.7609,7.9464,5.9827,7.6464,7.5048,6.0443,5.2604,6.3318,6.5634,5.3742,4.5182,8.4444,4.044,4.2534,5.8459,6.5031,5.2398,6.0484,6.3509,4.6206,5.6394,5.275,7.4935,6.4381,5.8946,8.0166,6.629,5.5037,5.3445,5.9475175,1.08791558390927
"SoilClassification.contribution",12.9764,13.4254,15.4204,12.6736,17.1419,16.0118,12.5598,12.8569,16.5997,12.767,14.5484,10.4362,13.7331,13.2952,14.2609,14.1384,18.4796,12.4855,15.4579,13.0728,15.0754,15.7068,15.1741,12.2845,13.9192,15.0457,18.331,12.9503,17.3111,16.2282,15.9015,13.2912,12.156,15.1707,15.5562,13.5015,13.2985,10.5261,15.0341,14.0944,14.322435,1.93099784619843
"Vegetation.contribution",51.1254,53.5575,50.6021,51.9022,48.6439,46.2762,53.4507,52.0421,49.971,52.0946,51.4694,54.3374,52.2812,51.9226,50.635,51.0183,47.9787,53.2146,47.9177,50.1255,50.3425,51.3147,49.4695,55.537,51.82,50.7145,47.676,51.6094,48.3058,47.7642,49.4577,49.6225,51.9788,48.9689,49.7959,50.3482,52.364,53.7737,48.9048,50.5216,50.771395,2.16232344317058
"WaterBallanceRatio.contribution",29.7843,28.7439,27.8069,29.1629,29.1969,31.7913,28.7692,30.6466,28.3247,29.1989,28.0756,28.4656,26.0394,28.7995,27.4578,27.3386,27.4974,29.0395,30.2926,30.2383,29.2079,28.4604,26.912,28.1346,30.0073,28.3939,27.4899,30.2005,28.3347,29.6567,30.0203,31.4469,30.5902,28.3669,28.2098,30.2557,26.3209,29.0712,30.5574,30.0395,28.958665,1.22849624298753
"DEMStError.permutation.importance",9.0232,8.6872,9.5927,7.6172,10.7221,8.4541,8.8196,9.6257,11.4096,12.4164,12.1877,9.8114,15.8461,12.775,9.6194,10.1183,14.9603,11.1333,9.8982,8.969,15.8674,9.056,8.4467,8.8827,10.8718,12.0313,11.1046,11.0818,8.7242,10.053,12.345,8.1034,10.4057,12.118,10.0642,8.7513,12.5731,12.9407,9.0674,13.2301,10.6851225,2.13290614846526
