"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"9","LQP_0.15","LQP",0.15,0.8521,0.772013522727273,0.0385720083331511,0.0825823700311573,0.0407784486343029,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3209.71195557643,0,0.12653195219946,12
"6","LQP_0.1","LQP",0.1,0.85,0.766852853535354,0.0433455675017351,0.0864080834464044,0.0468305595107649,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3209.62345543028,0,0.198799942963151,12
"3","LQP_0.05","LQP",0.05,0.8544,0.770746073232323,0.0471883630429001,0.086827035655058,0.0500729705835591,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3209.56469436472,0,0.171048657424154,12
"4","LQP_0.15","LQP",0.15,0.8522,0.775989343434343,0.0402171398011861,0.0783874543946932,0.043086843951173,0.0611111111111111,0.00901234567901235,0.217424242424242,0.0585582253511546,3209.13607763429,0,0.130836628029346,12
"5","LQP_0.05","LQP",0.05,0.8526,0.765386224747475,0.0487353304953603,0.0889103659103473,0.0510858650565752,0.0722222222222222,0.0169135802469136,0.228535353535354,0.0545851613780907,3209.22129519017,0,0.134905137618964,12
"6.1","LQP_0.1","LQP",0.1,0.8523,0.765659078282828,0.0430840462950198,0.0884994139780893,0.0447292102320139,0.0777777777777778,0.0162962962962963,0.24520202020202,0.0504774172703466,3209.49678264448,0,0.172481099240528,12
"7","LQP_0.1","LQP",0.1,0.8494,0.765150833333333,0.0417596976747685,0.0863830804311775,0.0444490185256757,0.0777777777777778,0.0162962962962963,0.245328282828283,0.0501639926198007,3209.45336470056,0,0.195671596739399,12
"8","LQP_0.15","LQP",0.15,0.8496,0.767417967171717,0.0406603373203565,0.084910632883562,0.0435976055606251,0.0833333333333333,0.0192181069958848,0.228535353535354,0.0545851613780907,3209.60497976887,0,0.132014714920018,12
"9.1","LQP_0.1","LQP",0.1,0.8485,0.763808611111111,0.0413123355858796,0.0867938875069099,0.0439854923247691,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3209.81419812331,0,0.170477105250484,12
"10","LQP_0.05","LQP",0.05,0.8538,0.770525315656566,0.0431149159975718,0.0861896484119805,0.0454557028566759,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3209.20525814364,0,0.150106229135828,12
"11","LQP_0.1","LQP",0.1,0.8501,0.764924482323232,0.0446154089947941,0.0870629623976079,0.0463433444998389,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3210.3855447348,0,0.144716784648358,12
"12","LQP_0.1","LQP",0.1,0.8555,0.772702323232323,0.0455556056048056,0.0849354462535806,0.0481188625832429,0.0777777777777778,0.0162962962962963,0.234217171717172,0.0533177524402272,3210.46149928889,0,0.113810789194229,12
"13","LQP_0.15","LQP",0.15,0.8519,0.770717070707071,0.0377755134071931,0.0836919024825368,0.03957892120645,0.0777777777777778,0.0162962962962963,0.245328282828283,0.0495055564058089,3210.27053700588,0,0.173575143719311,12
"14","LQP_0.1","LQP",0.1,0.8526,0.765813345959596,0.0439060625237388,0.0887262477385798,0.0463403997797482,0.0777777777777778,0.0162962962962963,0.228535353535354,0.0545851613780907,3210.07104205884,0,0.155670180745632,12
"15","LQP_0.05","LQP",0.05,0.8521,0.764947247474747,0.0474733402276152,0.089664920850294,0.0503317221580203,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3210.87075300851,0,0.149137491016454,12
"16","LQP_0.1","LQP",0.1,0.8521,0.771737058080808,0.0445774037070186,0.0834686743680587,0.0480259893662051,0.0722222222222222,0.0136213991769547,0.228535353535354,0.0545851613780907,3211.29625003832,0,0.159261073091185,12
"21","LQP_0.35","LQP",0.35,0.8528,0.785157487373737,0.0289511068898163,0.0703427102492588,0.0317095496571402,0.05,0.00539094650205761,0.211994949494949,0.0474442021222324,3209.63844557234,0,0.144260117730868,11
"18","LQP_0.1","LQP",0.1,0.8519,0.766158106060606,0.0431039654777376,0.0880453792904166,0.0453193530904593,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3209.35795768001,0,0.216304695749576,12
"19","LQP_0.35","LQP",0.35,0.8538,0.785873585858586,0.0281971541473753,0.0714931595808835,0.0316162762421252,0.0555555555555556,0.00707818930041152,0.211994949494949,0.0408598399823147,3208.95470133627,0,0.136545046505425,11
"27","LQP_0.45","LQP",0.45,0.8509,0.787229747474747,0.0266872545857591,0.0661052248856727,0.0300943746774484,0.05,0.00539094650205761,0.200757575757576,0.0436536237798864,3210.99348979273,0,0.113045587946591,11
"21.1","LQP_0.05","LQP",0.05,0.8517,0.761221186868687,0.0436699379177284,0.0927364831147294,0.046049901565539,0.0777777777777778,0.0162962962962963,0.245328282828283,0.0501639926198007,3209.84484726555,0,0.169972408172208,12
"24","LQP_0.4","LQP",0.4,0.849,0.779132196969697,0.0267852841988273,0.0730388809739183,0.0297869508328555,0.0833333333333333,0.0192181069958848,0.206439393939394,0.0368811643369724,3210.70248450802,0,0.124074733131595,10
"2","LQ_0.05","LQ",0.05,0.847,0.762845681818182,0.0458035773824667,0.0864926183476556,0.0488446043857536,0.0944444444444444,0.0258024691358025,0.228661616161616,0.0552650027208108,3217.53434343874,0,0.085997566174352,10
"24.1","LQP_0.1","LQP",0.1,0.8518,0.766518926767677,0.0428988397448782,0.0873486865546007,0.0448961038131738,0.0722222222222222,0.0169135802469136,0.239646464646465,0.0515997517260143,3209.87287121852,0,0.114588470132192,12
"25","LQP_0.05","LQP",0.05,0.8512,0.764687954545455,0.0487389702081937,0.0881960490476908,0.0503556106195717,0.0777777777777778,0.0162962962962963,0.239772727272727,0.0516174157398905,3209.21855530879,0,0.225470899677856,12
